product_id,product_name,brand,category,price,cost,stock_quantity,created_at,updated_at
26,EcoGoods Sweater,EcoGoods,Clothing,-182,96.84,226,2023-06-28T00:00:00,2023-07-10T00:00:00
27,ClassicMake Shorts,ClassicMake,Clothing,63,25.03,177,2020-12-02T00:00:00,2021-02-19T00:00:00
28,ClassicMake Coffee Maker,ClassicMake,Home & Garden,32,15.6,448,2020-04-12T00:00:00,2020-07-15T00:00:00
29,ValueCo Coffee Maker,ValueCo,Home & Garden,118,57.52,78,2023-03-04T00:00:00,2023-05-02T00:00:00
30,Premium Blender,Premium,Home & Garden,63,35.99,172,2023-12-22T00:00:00,2024-01-18T00:00:00
31,ProBrand Blender,ProBrand,,243,81.08,211,2020-04-16T00:00:00,2020-05-30T00:00:00
32,ProBrand Vacuum,ProBrand,Home & Garden,285,189.98,235,2022-09-05T00:00:00,2022-09-15T00:00:00
33,Premium Vacuum,,Home & Garden,262,176.05,225,2020-02-24T00:00:00,2020-04-14T00:00:00
34,EcoGoods Vacuum,EcoGoods,Home & Garden,70,45.05,348,2023-01-30T00:00:00,2023-02-16T00:00:00
35,ValueCo Lamp,ValueCo,Home & Garden,186,112.94,405,2020-09-21T00:00:00,2020-10-04T00:00:00
36,TechFirst Pillow,TechFirst,Home & Garden,53,28.39,298,2024-03-25T00:00:00,2024-04-06T00:00:00
37,Premium Pillow,Premium,Home & Garden,252,170.13,170,2020-07-17T00:00:00,2020-09-29T00:00:00
38,ClassicMake Rug,ClassicMake,Home & Garden,139,47.2,189,2021-11-17T00:00:00,2021-11-18T00:00:00
39,ModernLine Plant Pot,ModernLine,Home & Garden,-262,146.28,329,2021-12-05T00:00:00,2022-01-22T00:00:00
40,ProBrand Yoga Mat,,Sports,129,61.67,207,2023-02-12T00:00:00,2023-02-17T00:00:00
41,TechFirst Dumbbell Set,TechFirst,Sports,394,260.93,170,2022-12-29T00:00:00,2023-01-06T00:00:00
42,ClassicMake Dumbbell Set,ClassicMake,Sports,221,68.24,83,2023-08-03T00:00:00,2023-08-27T00:00:00
43,ClassicMake Running Shoes,ClassicMake,Sports,450,171.74,417,2024-02-23T00:00:00,2024-04-26T00:00:00
44,EcoGoods Running Shoes,EcoGoods,Sports,375,246.96,396,2024-07-20T00:00:00,2024-07-24T00:00:00
45,ClassicMake Bicycle,ClassicMake,Sports,244,102.94,149,2024-02-02T00:00:00,2024-04-22T00:00:00
46,EcoGoods Bicycle,EcoGoods,,309,202.02,82,2023-04-16T00:00:00,2023-07-24T00:00:00
47,TechFirst Bicycle,TechFirst,Sports,122,83.65,,2020-04-28T00:00:00,2020-07-29T00:00:00
48,TechFirst Tennis Racket,TechFirst,Sports,431,246.95,454,2022-11-05T00:00:00,2023-01-02T00:00:00
49,TechFirst Tennis Racket,,Sports,58,26.5,378,2021-12-06T00:00:00,2021-12-28T00:00:00
50,Premium Tennis Racket,Premium,Sports,327,189.65,116,2021-07-20T00:00:00,2021-07-24T00:00:00
51,ProBrand Basketball,ProBrand,Sports,398,255.98,37,2021-07-09T00:00:00,2021-08-05T00:00:00
52,TechFirst Fiction Novel,,Books,50,20.88,394,2024-11-21T00:00:00,2024-12-02T00:00:00
53,Premium Fiction Novel,Premium,,18,5.43,480,2021-01-06T00:00:00,2021-04-04T00:00:00
54,ProBrand Fiction Novel,ProBrand,Books,12,5.46,426,2021-01-20T00:00:00,2021-02-19T00:00:00
55,Premium Cookbook,Premium,Books,37,21.9,57,2022-12-11T00:00:00,2023-01-15T00:00:00
56,TechFirst Self-Help,TechFirst,Books,27,18.11,390,2020-02-07T00:00:00,2020-02-09T00:00:00
57,Premium Self-Help,Premium,Books,29,18.64,440,2022-02-06T00:00:00,2022-04-22T00:00:00
58,Premium Self-Help,Premium,Books,38,19.78,163,2022-11-05T00:00:00,2023-01-22T00:00:00
59,EcoGoods Biography,EcoGoods,Books,32,10.77,232,2023-06-27T00:00:00,2023-09-14T00:00:00
60,EcoGoods Technical Manual,EcoGoods,Books,20,7.6,233,2022-12-17T00:00:00,2023-02-14T00:00:00
61,ClassicMake Technical Manual,ClassicMake,Books,25,7.7,160,2021-06-24T00:00:00,2021-09-24T00:00:00
62,ValueCo Children's Book,ValueCo,Books,34,19.83,487,2021-10-02T00:00:00,2022-01-01T00:00:00
63,ModernLine Children's Book,ModernLine,Books,30,14.78,320,2021-01-21T00:00:00,2021-03-31T00:00:00
